franchise_id,amount,adjustment_id,description,timestamp,season,week,captured_at_utc
0021,1.26,143,B. Wagner - 1 yr at $2.10 mil dropped 9/7/26,1789410136,2026,2,2026-09-22 08:33:42
0029,12.29,144,T. Tagovailoa - 2 yrs at $20.49 mil dropped 9/11/26,1789410136,2026,2,2026-09-22 08:33:42
0030,1.38,145,K. Vidal - 1 yr at $2.3 mil dropped 9/7/26,1789410136,2026,2,2026-09-22 08:33:42
0011,1.32,146,T. Tagovailoa - 1 yr at $2.20 mil dropped 9/15/26,1790011318,2026,2,2026-09-22 08:33:42
0013,2.26,147,A.J. Epenesa - 2 yrs at $3.77 mil dropped 9/17/26,1790011318,2026,2,2026-09-22 08:33:42
0016,1.25,148,J. Briggs - 3 yrs at $2.09 mil dropped 9/16/26,1790011318,2026,2,2026-09-22 08:33:42
0018,5.65,149,Z. Franklin - 1 yr at $9.41 mil dropped 9/15/26,1790011449,2026,2,2026-09-22 08:33:42
0006,0.56,15,Chase Young - 2 yrs at $1.87 mil dropped 10/14/25,1771690007,2026,2,2026-09-22 08:33:42
0021,1.24,150,M. Mustapha - 3 yrs at $2.06 mil dropped 9/15/26,1790011449,2026,2,2026-09-22 08:33:42
0032,2.45,151,J. Jones - 1 yr at $4.08 mil dropped 9/18/26,1790011449,2026,2,2026-09-22 08:33:42
0018,5.78,152,P. Adebo - 2 yrs at $6.42 mil dropped 9/15/26 - accelerated,1790011502,2026,2,2026-09-22 08:33:42
0018,1.95,153,B.J. Hill - 1 yr at $3.25 mil dropped 9/16/26,1790011541,2026,2,2026-09-22 08:33:42
0018,1.32,154,G. Delpit - 1 yr at $2.20 mil dropped 9/16/26,1790011576,2026,2,2026-09-22 08:33:42
0028,1.71,155,K. Curl - 2 yrs at $2.85 mil dropped 9/21/26,1790048525,2026,2,2026-09-22 08:33:42
0008,1.12,16,Patrick Jones - 3 yrs at $1.86 mil dropped 10/16/25,1771690007,2026,2,2026-09-22 08:33:42
