SEASON,WEEK,WAIVER_WINDOW_START_ET,WAIVER_WINDOW_END_ET,DATE,CONF,FRAN,FRANCHISE_ID,PLAYER,PLAYER_ID,SALARY,YEARS,CONTRACT,FG,1.XX+,RVSD?,SALARY_SNAPSHOT_TIME_ET,WAIVER_STATUS,NOTES
2026,2,09/20/2026 05:00 AM EDT,09/21/2026 11:15 PM EDT,09/21/2026 20:12:05,AFC,TEN,0028,Kamren Curl,15001,2.85,2,2026 UFA,,,,09/21/2026 11:59 AM EDT,Not rostered in same conference at cap run,Dropped in waiver-correction window; verify whether prior-week cap correction is needed.
2026,2,09/20/2026 05:00 AM EDT,09/21/2026 11:15 PM EDT,09/20/2026 11:13:33,NFC,CHI,0005,Jordan James,17055,1.14,3,2025 4.05,,,,09/20/2026 09:40 AM EDT,Not rostered in same conference at cap run,Dropped in waiver-correction window; verify whether prior-week cap correction is needed.
