season,week,checked_at,alert_type,severity,conference,franchise,franchise_name,rule,observed,details,commissioner_only,consecutive_days
2026,3,2026-09-24 15:06:57 UTC,Roster Cap Violation,violation,AFC,LAC,Los Angeles Chargers,Maximum 45 non-suspended/non-holdout players on Active Roster + Taxi Squad,46 non-suspended/non-holdout Active + Taxi players,1 above maximum (44 Active + 2 Taxi),,1
2026,3,2026-09-24 15:06:57 UTC,Roster Cap Violation,violation,NFC,CHI,Chicago Bears,Maximum 45 non-suspended/non-holdout players on Active Roster + Taxi Squad,47 non-suspended/non-holdout Active + Taxi players,2 above maximum (45 Active + 2 Taxi),,1
