season,week,checked_at,alert_type,severity,conference,franchise,franchise_name,rule,observed,details,commissioner_only,consecutive_days
2026,2,2026-09-19 13:55:40 UTC,Roster Cap Violation,violation,AFC,BUF,Buffalo Bills,Maximum 45 non-suspended/non-holdout players on Active Roster + Taxi Squad,46 non-suspended/non-holdout Active + Taxi players,1 above maximum (45 Active + 1 Taxi),,1
2026,2,2026-09-19 13:55:40 UTC,Roster Warning,warning,NFC,CHI,Chicago Bears,Maximum 45 non-suspended/non-holdout players on Active Roster + Taxi Squad,46 non-suspended/non-holdout Active + Taxi players,"Move Adebo, Paulson NYG CB from Active to Injured Reserve to be fully compliant.",,
