source,franchise_id,conference,franchise,franchise_name,player_id,player_name,occurred_at,round,type,type_desc,event_text,auction_event_type,auction_franchise_id,auction_player_id,auction_amount_raw,auction_amount,auction_forced_franchise_name,event_kind,commissioner_initiated,auction_high_bidder_franchise
transactions,0019,AFC,NEP,New England Patriots,,,2026-08-05T14:32:38Z,,AUCTION_WON,,NA 1785940358 NA 0019 AUCTION_WON NA NA NA NA NA NA NA 14592|1.10| NA NA NA NA NA,,,,,,,win,FALSE,NEP
transactions,0030,AFC,KCC,Kansas City Chiefs,,,2026-08-05T14:38:17Z,,AUCTION_INIT,,NA 1785940697 NA 0030 AUCTION_INIT NA NA NA NA NA NA NA 17162|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,KCC
transactions,0022,AFC,CIN,Cincinnati Bengals,,,2026-08-05T22:21:05Z,,AUCTION_WON,,NA 1785968465 NA 0022 AUCTION_WON NA NA NA NA NA NA NA 15814|1.10| NA NA NA NA NA,,,,,,,win,FALSE,CIN
transactions,0006,NFC,DET,Detroit Lions,,,2026-08-05T23:27:23Z,,AUCTION_INIT,,NA 1785972443 NA 0006 AUCTION_INIT NA NA NA NA NA NA NA 16153|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,DET
transactions,0006,NFC,DET,Detroit Lions,,,2026-08-07T04:46:36Z,,AUCTION_WON,,NA 1786077996 NA 0006 AUCTION_WON NA NA NA NA NA NA NA 16153|1.10| NA NA NA NA NA,,,,,,,win,FALSE,DET
transactions,0030,AFC,KCC,Kansas City Chiefs,,,2026-08-07T04:58:42Z,,AUCTION_WON,,NA 1786078722 NA 0030 AUCTION_WON NA NA NA NA NA NA NA 17162|1.10| NA NA NA NA NA,,,,,,,win,FALSE,KCC
transactions,0018,AFC,MIA,Miami Dolphins,,,2026-08-07T12:33:14Z,,AUCTION_INIT,,NA 1786105994 NA 0018 AUCTION_INIT NA NA NA NA NA NA NA 17097|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,MIA
transactions,0018,AFC,MIA,Miami Dolphins,,,2026-08-08T18:15:58Z,,AUCTION_WON,,NA 1786212958 NA 0018 AUCTION_WON NA NA NA NA NA NA NA 17097|1.10| NA NA NA NA NA,,,,,,,win,FALSE,MIA
transactions,0008,NFC,MIN,Minnesota Vikings,,,2026-08-08T20:26:34Z,,AUCTION_INIT,,NA 1786220794 NA 0008 AUCTION_INIT NA NA NA NA NA NA NA 13230|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,MIN
transactions,0008,NFC,MIN,Minnesota Vikings,,,2026-08-10T12:23:44Z,,AUCTION_WON,,NA 1786364624 NA 0008 AUCTION_WON NA NA NA NA NA NA NA 13230|1.10| NA NA NA NA NA,,,,,,,win,FALSE,MIN
transactions,0030,AFC,KCC,Kansas City Chiefs,,,2026-08-11T19:09:44Z,,AUCTION_INIT,,NA 1786475384 NA 0030 AUCTION_INIT NA NA NA NA NA NA NA 15676|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,KCC
transactions,0030,AFC,KCC,Kansas City Chiefs,,,2026-08-11T19:54:47Z,,AUCTION_INIT,,NA 1786478087 NA 0030 AUCTION_INIT NA NA NA NA NA NA NA 13325|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,KCC
transactions,0009,NFC,ATL,Atlanta Falcons,,,2026-08-12T00:48:02Z,,AUCTION_INIT,,NA 1786495682 NA 0009 AUCTION_INIT NA NA NA NA NA NA NA 17162|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,ATL
transactions,0007,NFC,GBP,Green Bay Packers,,,2026-08-12T02:28:14Z,,AUCTION_INIT,,NA 1786501694 NA 0007 AUCTION_INIT NA NA NA NA NA NA NA 17077|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,GBP
transactions,0030,AFC,KCC,Kansas City Chiefs,,,2026-08-12T21:06:44Z,,AUCTION_WON,,NA 1786568804 NA 0030 AUCTION_WON NA NA NA NA NA NA NA 15676|1.10| NA NA NA NA NA,,,,,,,win,FALSE,KCC
transactions,0030,AFC,KCC,Kansas City Chiefs,,,2026-08-12T21:06:44Z,,AUCTION_WON,,NA 1786568804 NA 0030 AUCTION_WON NA NA NA NA NA NA NA 13325|1.10| NA NA NA NA NA,,,,,,,win,FALSE,KCC
transactions,0009,NFC,ATL,Atlanta Falcons,,,2026-08-13T02:17:18Z,,AUCTION_WON,,NA 1786587438 NA 0009 AUCTION_WON NA NA NA NA NA NA NA 17162|1.10| NA NA NA NA NA,,,,,,,win,FALSE,ATL
transactions,0007,NFC,GBP,Green Bay Packers,,,2026-08-13T14:39:06Z,,AUCTION_WON,,NA 1786631946 NA 0007 AUCTION_WON NA NA NA NA NA NA NA 17077|1.10| NA NA NA NA NA,,,,,,,win,FALSE,GBP
transactions,0007,NFC,GBP,Green Bay Packers,,,2026-08-13T14:41:37Z,,AUCTION_INIT,,NA 1786632097 NA 0007 AUCTION_INIT NA NA NA NA NA NA NA 16492|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,GBP
transactions,0021,AFC,BAL,Baltimore Ravens,,,2026-08-13T14:56:16Z,,AUCTION_INIT,,NA 1786632976 NA 0021 AUCTION_INIT NA NA NA NA NA NA NA 14434|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,BAL
transactions,0021,AFC,BAL,Baltimore Ravens,,,2026-08-14T02:30:32Z,,AUCTION_INIT,,NA 1786674632 NA 0021 AUCTION_INIT NA NA NA NA NA NA NA 17653|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,BAL
transactions,0021,AFC,BAL,Baltimore Ravens,,,2026-08-14T15:07:45Z,,AUCTION_WON,,NA 1786720065 NA 0021 AUCTION_WON NA NA NA NA NA NA NA 14434|1.10| NA NA NA NA NA,,,,,,,win,FALSE,BAL
transactions,0007,NFC,GBP,Green Bay Packers,,,2026-08-14T16:02:14Z,,AUCTION_WON,,NA 1786723334 NA 0007 AUCTION_WON NA NA NA NA NA NA NA 16492|1.10| NA NA NA NA NA,,,,,,,win,FALSE,GBP
transactions,0021,AFC,BAL,Baltimore Ravens,,,2026-08-14T20:28:10Z,,AUCTION_INIT,,NA 1786739290 NA 0021 AUCTION_INIT NA NA NA NA NA NA NA 17207|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,BAL
transactions,0006,NFC,DET,Detroit Lions,,,2026-08-15T01:20:22Z,,AUCTION_INIT,,NA 1786756822 NA 0006 AUCTION_INIT NA NA NA NA NA NA NA 17226|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,DET
transactions,0021,AFC,BAL,Baltimore Ravens,,,2026-08-15T13:46:36Z,,AUCTION_WON,,NA 1786801596 NA 0021 AUCTION_WON NA NA NA NA NA NA NA 17653|1.10| NA NA NA NA NA,,,,,,,win,FALSE,BAL
transactions,0021,AFC,BAL,Baltimore Ravens,,,2026-08-15T13:47:28Z,,AUCTION_INIT,,NA 1786801648 NA 0021 AUCTION_INIT NA NA NA NA NA NA NA 17709|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,BAL
transactions,0021,AFC,BAL,Baltimore Ravens,,,2026-08-15T22:08:07Z,,AUCTION_WON,,NA 1786831687 NA 0021 AUCTION_WON NA NA NA NA NA NA NA 17207|1.10| NA NA NA NA NA,,,,,,,win,FALSE,BAL
transactions,0006,NFC,DET,Detroit Lions,,,2026-08-16T06:05:09Z,,AUCTION_WON,,NA 1786860309 NA 0006 AUCTION_WON NA NA NA NA NA NA NA 17226|1.10| NA NA NA NA NA,,,,,,,win,FALSE,DET
transactions,0021,AFC,BAL,Baltimore Ravens,,,2026-08-16T15:00:40Z,,AUCTION_WON,,NA 1786892440 NA 0021 AUCTION_WON NA NA NA NA NA NA NA 17709|1.10| NA NA NA NA NA,,,,,,,win,FALSE,BAL
transactions,0016,NFC,SEA,Seattle Seahawks,,,2026-08-20T19:13:27Z,,AUCTION_INIT,,NA 1787253207 NA 0016 AUCTION_INIT NA NA NA NA NA NA NA 15254|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,SEA
transactions,0016,NFC,SEA,Seattle Seahawks,,,2026-08-20T19:17:17Z,,AUCTION_INIT,,NA 1787253437 NA 0016 AUCTION_INIT NA NA NA NA NA NA NA 17750|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,SEA
transactions,0016,NFC,SEA,Seattle Seahawks,,,2026-08-20T20:05:10Z,,AUCTION_INIT,,NA 1787256310 NA 0016 AUCTION_INIT NA NA NA NA NA NA NA 17530|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,SEA
transactions,0015,NFC,SFO,San Francisco 49ers,,,2026-08-21T14:14:38Z,,AUCTION_INIT,,NA 1787321678 NA 0015 AUCTION_INIT NA NA NA NA NA NA NA 17726|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,SFO
transactions,0021,AFC,BAL,Baltimore Ravens,,,2026-08-21T19:02:09Z,,AUCTION_INIT,,NA 1787338929 NA 0021 AUCTION_INIT NA NA NA NA NA NA NA 0802|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,BAL
transactions,0016,NFC,SEA,Seattle Seahawks,,,2026-08-21T19:50:53Z,,AUCTION_WON,,NA 1787341853 NA 0016 AUCTION_WON NA NA NA NA NA NA NA 17750|1.10| NA NA NA NA NA,,,,,,,win,FALSE,SEA
transactions,0016,NFC,SEA,Seattle Seahawks,,,2026-08-21T19:50:53Z,,AUCTION_WON,,NA 1787341853 NA 0016 AUCTION_WON NA NA NA NA NA NA NA 15254|1.10| NA NA NA NA NA,,,,,,,win,FALSE,SEA
transactions,0016,NFC,SEA,Seattle Seahawks,,,2026-08-21T20:30:19Z,,AUCTION_WON,,NA 1787344219 NA 0016 AUCTION_WON NA NA NA NA NA NA NA 17530|1.10| NA NA NA NA NA,,,,,,,win,FALSE,SEA
transactions,0021,AFC,BAL,Baltimore Ravens,,,2026-08-22T00:35:43Z,,AUCTION_INIT,,NA 1787358943 NA 0021 AUCTION_INIT NA NA NA NA NA NA NA 14328|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,BAL
transactions,0015,NFC,SFO,San Francisco 49ers,,,2026-08-22T16:55:22Z,,AUCTION_WON,,NA 1787417722 NA 0015 AUCTION_WON NA NA NA NA NA NA NA 17726|1.10| NA NA NA NA NA,,,,,,,win,FALSE,SFO
transactions,0021,AFC,BAL,Baltimore Ravens,,,2026-08-22T21:23:26Z,,AUCTION_WON,,NA 1787433806 NA 0021 AUCTION_WON NA NA NA NA NA NA NA 0802|1.10| NA NA NA NA NA,,,,,,,win,FALSE,BAL
transactions,0021,AFC,BAL,Baltimore Ravens,,,2026-08-23T16:11:55Z,,AUCTION_WON,,NA 1787501515 NA 0021 AUCTION_WON NA NA NA NA NA NA NA 14328|1.10| NA NA NA NA NA,,,,,,,win,FALSE,BAL
transactions,0021,AFC,BAL,Baltimore Ravens,,,2026-08-23T17:15:51Z,,AUCTION_INIT,,NA 1787505351 NA 0021 AUCTION_INIT NA NA NA NA NA NA NA 13201|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,BAL
transactions,0016,NFC,SEA,Seattle Seahawks,,,2026-08-23T17:53:48Z,,AUCTION_INIT,,NA 1787507628 NA 0016 AUCTION_INIT NA NA NA NA NA NA NA 16300|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,SEA
transactions,0016,NFC,SEA,Seattle Seahawks,,,2026-08-23T23:06:40Z,,AUCTION_INIT,,NA 1787526400 NA 0016 AUCTION_INIT NA NA NA NA NA NA NA 16613|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,SEA
transactions,0009,NFC,ATL,Atlanta Falcons,,,2026-08-24T16:08:55Z,,AUCTION_INIT,,NA 1787587735 NA 0009 AUCTION_INIT NA NA NA NA NA NA NA 12218|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,ATL
transactions,0009,NFC,ATL,Atlanta Falcons,,,2026-08-24T16:10:16Z,,AUCTION_INIT,,NA 1787587816 NA 0009 AUCTION_INIT NA NA NA NA NA NA NA 16662|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,ATL
transactions,0016,NFC,SEA,Seattle Seahawks,,,2026-08-24T18:43:41Z,,AUCTION_WON,,NA 1787597021 NA 0016 AUCTION_WON NA NA NA NA NA NA NA 16300|1.10| NA NA NA NA NA,,,,,,,win,FALSE,SEA
transactions,0021,AFC,BAL,Baltimore Ravens,,,2026-08-24T18:45:13Z,,AUCTION_WON,,NA 1787597113 NA 0021 AUCTION_WON NA NA NA NA NA NA NA 13201|1.10| NA NA NA NA NA,,,,,,,win,FALSE,BAL
transactions,0016,NFC,SEA,Seattle Seahawks,,,2026-08-24T23:31:38Z,,AUCTION_WON,,NA 1787614298 NA 0016 AUCTION_WON NA NA NA NA NA NA NA 16613|1.10| NA NA NA NA NA,,,,,,,win,FALSE,SEA
transactions,0006,NFC,DET,Detroit Lions,,,2026-08-25T02:08:06Z,,AUCTION_INIT,,NA 1787623686 NA 0006 AUCTION_INIT NA NA NA NA NA NA NA 17672|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,DET
transactions,0013,NFC,ARI,Arizona Cardinals,,,2026-08-25T03:59:48Z,,AUCTION_INIT,,NA 1787630388 NA 0013 AUCTION_INIT NA NA NA NA NA NA NA 15173|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,ARI
transactions,0025,AFC,HOU,Houston Texans,,,2026-08-25T13:33:32Z,,AUCTION_INIT,,NA 1787664812 NA 0025 AUCTION_INIT NA NA NA NA NA NA NA 10775|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,HOU
transactions,0025,AFC,HOU,Houston Texans,,,2026-08-25T14:01:35Z,,AUCTION_INIT,,NA 1787666495 NA 0025 AUCTION_INIT NA NA NA NA NA NA NA 15395|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,HOU
