"player_id","CONF","franchise_id","drop_time_key","lock_kind","date_locked_text","release_condition","dropped_by"
"17055","NFC","0005","2026-09-20 11:13:33","drop","Sun Sep 20 11:13:33 a.m. ET 2026","Waivers After Mon Sep 21 11:13:33 a.m. ET 2026","Chicago Bears"
"17510","NFC","0012","2026-09-20 11:11:35","drop","Sun Sep 20 11:11:35 a.m. ET 2026","Waivers After Mon Sep 21 11:11:35 a.m. ET 2026","Tampa Bay Buccaneers"
