CONF,DATE,FRAN,PLAYER,SALARY,YEARS,CONTRACT,2026 PEN,2027 PEN,B/R,TR/IB,FG,(S),JT,1.XX+,NOTES,ENTD?,RVSD?
AFC,4/21/2026,BAL,Cash Trade,1.00,,,,,,x,,,,,,,
AFC,4/21/2026,LVR,Cash Trade,-1.00,,,,,,x,,,,,,,
AFC,4/28/2026,MIA,J. Carlies,2.99,3,2025 UFA,,,,,,,,,,,
NFC,4/23/2026,CAR,C. Gardner Johnson,7.94,1,2025 UFA,,,,,,,,,,,
