captured_at,snapshot_time,season,week,conference,franchise,franchise_name,player_id,player_name,player_team,player_pos,roster_status,player_status
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,DAL,Dallas Cowboys,13470,"Moore, Kenny",FA,CB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,DAL,Dallas Cowboys,13590,"Mayfield, Baker",TBB,QB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,DAL,Dallas Cowboys,15895,"McCollum, Zyon",TBB,CB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,DAL,Dallas Cowboys,15913,"Benford, Christian",BUF,CB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,DAL,Dallas Cowboys,16688,"Guerendo, Isaac",SFO,RB,Taxi,IR-PUP
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,DAL,Dallas Cowboys,17483,"Hemby, Roman",FA,RB,Taxi,R
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,DAL,Dallas Cowboys,17709,"Henry, Robert",FA,RB,Taxi,R
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,DAL,Dallas Cowboys,14086,"Hill, Justice",BAL,RB,Taxi,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,DAL,Dallas Cowboys,15727,"Knight, Bam",ARI,RB,Taxi,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,DAL,Dallas Cowboys,13133,"Perine, Samaje",CIN,RB,Taxi,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,DAL,Dallas Cowboys,17652,"Randall, Adam",BAL,RB,Taxi,IR-R
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,DAL,Dallas Cowboys,17541,"Brown, Barion",NOS,WR,Taxi,R
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,DAL,Dallas Cowboys,17097,"Felton, Tai",MIN,WR,Taxi,
