season,week,checked_at,alert_type,severity,conference,franchise,franchise_name,rule,observed,details,commissioner_only,consecutive_days
2026,3,2026-09-25 15:16:43 UTC,Roster Cap Violation,violation,NFC,ARI,Arizona Cardinals,Maximum 45 non-suspended/non-holdout players on Active Roster + Taxi Squad,46 non-suspended/non-holdout Active + Taxi players,1 above maximum (45 Active + 1 Taxi),,1
2026,3,2026-09-25 15:16:43 UTC,Roster Cap Violation,violation,NFC,CAR,Carolina Panthers,Maximum 45 non-suspended/non-holdout players on Active Roster + Taxi Squad,46 non-suspended/non-holdout Active + Taxi players,1 above maximum (45 Active + 1 Taxi),,1
